Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION,"WESTMINSTER PRESERVATION TRUST, INCORPORATED",21201,2022,98500,HISTORIC PRESERVATION GRANT PROGRAM FY19 MHT CAPITAL GRANT: WESTMINSTER CEMETERY - GATES AND WALL,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF VETERAN AFFAIRS/VETERANS HOME PROGRAM,HEALTH MANAGEMENT RESOURCES (HMR) OF MARYLAND LLC,20622,2022,2575000,RELIEF FOR COVID-19 RELATED REVENUE LOSSES AT THE CHARLOTTE HALL VETERANS HOME. THE FUNDING IS BEING USED TOWARD COVID 19 PREVENTION MEASURES SUCH AS PPE AND THE CREATION OF SCREENING STATIONS AND ISOLATION UNITS AT THE VETERANS HOME. IN ADDITION THE FUNDING IS COVERING “HAZARD PAY” FOR THOSE EMPLOYEES THAT ARE WORKING IN COVID POSITIVE AREAS AROUND THE CLOCK AT THE VETERANS HOME. THE REMAINING PORTION OF THE FUNDING IS BEING SPENT ON FILLING THE SHORTFALL OF THE VETERANS HOME OPERATING COSTS.,Grant,1,06/30/2022 12:00:00 AM
OFFICE OF THE COMPTROLLER/REVENUE ADMINISTRATION DIVISION,"CREATNG ASSETS, SAVINGS AND HOPE (CASH) CAMPAIGN OF MARYLAND, INC.",21201,2022,200000,"PROMOTE THE FINANCIAL CAPABILITY OF LOW–INCOME INDIVIDUALS AND FAMILIES BY PROVIDING OUTREACH, EDUCATION, AND FREE TAX PREPARATION SERVICES.",Grant,1,06/30/2022 12:00:00 AM
OFFICE OF THE COMPTROLLER/COMPLIANCE DIVISION,MARYLAND VOLUNTEERS LAWYER SERVICE,21201,2022,83333.33,PROVIDE FUNDS TO OPERATE TAX CLINICS FOR LOW-INCOME MARYLAND RESIDENTS.,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,EAST BALTIMORE HISTORICAL LIBRARY,21213,2022,150000,EAST BALTIMORE HISTORICAL LIBRARY,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,ALICE FERGUSON FOUNDATION,20607,2022,825070.8,A FERGUSON FOUND POTOM WATERSHD CTR 14,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CENTRAL BALTIMORE PARTNERSHIP,21202,2022,125612.07,CENTRAL BALTIMORE PARTNERSHIP 2014,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GREEN BRANCH MANAGEMENT GROUP COR,20740,2022,3000000,GREEN BRANCH ATHLETIC COMPLEX 2014,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,EAST BALTIMORE COMMUNITY SCHOOL I,21218,2022,50000,EAST BALTIMORE HISTORICAL LIBRARY LHI 14,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,SINAI HOSPITAL OF BALTIMORE,21215,2022,2000000,SINAI HOSPITAL OF BALTIMORE 2016,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,STEVENSON UNIVERSITY INC,21153,2022,700000,ROSEWOOD PROP ENVIRON ABATEMNT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CENTER FOR THE VISUAL  AND PERFORMING ART INC,21014,2022,179640.42,MARYLAND CENTER FOR THE ARTS 2017,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HIPPODROME FOUNDATION INC,21286,2022,704889.77,HIPPODROME FOUNDATION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NATIONAL CRYPTOLOGIC MUSEUM FOUNDATION,20755,2022,250000,NATIONAL CRYPTOLOGIC MUSEUM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,STEVENSON UNIVERSITY,21153,2022,549976.83,STEVENSON UNIV- ROSEWOOD PROP ENV ABATE,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,OLNEY THEATRE CORPORATION,20830,2022,580633.26,OLNEY THEATER CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FORT MEADE ALLIANCE FOUNDATION IN,21286,2022,189258.99,RESILIENCY & EDUCATION CENTER AT KUHN HALL,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GREEN BRANCH MANAGEMENT GROUP COR,20740,2022,1872467.71,LIBERTY SPORTS PARK,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,"MARYLAND HALL FOR THE CREATIVE ARTS, INC.",21401,2022,191700,MARYLAND HALL FOR THE CREATIVE ARTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,YWCA OF ANNAPOLIS & ANNE ARUNDEL COUNTY MD INC,21012,2022,99326.57,YWCA DOMESTIC VIOLENCE & TRAFFICKING SHELTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FAMILY SERVICES INC,20877,2022,1000000,UPCOUNTY NONPROFIT HUB,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BON SECOURS OF MD FOUNDATION/UNITY PROPE,21223,2022,1000000,BON SECOURS YOUTH DEVELOPMENT CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HOWARD COUNTY YOUTH PROGRAM INC,21042,2022,100000,HOWARD COUNTY YOUTH PROGRAM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HOWARD COUNTY YOUTH PROGRAM INC,21201,2022,124869.8,HARFORD HOUSE PROJECT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,"HAVRE DE GRACE COLORED SCHOOL MUSEUM & CULTURAL CENTER, INC.",21078,2022,58175,HISTORIC COLORED SCHOOL,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,A WIDER CIRCLE,20814,2022,185194.71,A WIDER CIRCLE 2019,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BON SECOURS OF MD FOUNDATION/UNITY PROPE,21223,2022,725000,BON SECOURS COMM WORKS 2019,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CAL RIPKEN SR FOUNDATION INC,21209,2022,500000,CAL RIPKEN SR. FOUNDATION - ATHLETIC FIELDS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CARROLL HOSPICE,21157,2022,620692.17,CARROL HOSPICE-DOVE HOUSE RENOVATION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CHESAPEAKE BAY MARITIME MUSEUM INC,21663,2022,250000,CHESAPEAKE BAY MARITIME MUSEUM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GARRETT COLLEGE,21541,2022,2002854.33,GARRETT COLL COMM ED PERF ARTS 19,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BOARD OF GARRETT COUNTY COMM,21550,2022,500000,GARRETT CO EMERGENCY OPS CTR 19,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HISTORIC ANNAPOLIS FOUNDATION,21401,2022,491294.29,HISTORIC ANNAPOLIS 2019,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BALTIMORE ZOO,21217,2022,1394854.72,MARYLAND ZOO IN BALTIMORE 2019,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,OLNEY THEATRE CORPORATION,20832,2022,500000,OLNEY THEATRE CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BALTIMORE MUSEUM OF ART,21218,2022,1215894.33,BALTIMORE MUSEUM OF ART 2019,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CENTRAL BALTIMORE PARTNERSHIP,21223,2022,666177.37,STATION NORTH INVESTMENT FUND,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,VETERANS OF FOREIGN WARS OF THE U,64111,2022,86382.01,VFWFSP POST AQUAC & CEN 2019,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NATIONAL CRYPTOLOGIC MUSEUM FOUNDATION,20755,2022,500000,NATIONAL CRYPTOLOGIC MUSEUM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BALTIMORE CHILDRENS MUSEUM INC,21202,2022,465773.25,PORT DISCOVERY CHILDREN'S MUSEUM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,AMERICAN COMMUNITIES TRUST INC,21202,2022,192000,THE LAST MILE COMMUNITY ENHANCEMENTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,ARUNDEL LODGE INC,21037,2022,50000,ARUNDEL LODGE,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CARROLL COUNTY FAIR,21157,2022,115093,CARROLL CO AGR CTR AND SHIPLEY ARENA,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NATIONAL AQUARIUM BALTIMORE,21202,2022,1964017.87,NATIONAL AQUARIUM IN BALTIMORE,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NORTHBAY EDUCATION INC,21901,2022,52857.6,NORTHBAY EDUCATION - CAPITAL IMPROVE,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CITY OF ABERDEEN,21001,2022,244414.75,RIPKEN STADIUM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,MARYLAND SCIENCE CENTER,21230,2022,357891.2,MARYLAND SCIENCE CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,DELMARVA COMMUNITY SERVICES INC,21613,2022,500000,CHESAPEAKE GROVE INTERGENERATIONAL CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HIPPODROME FOUNDATION INC,21201,2022,1561853.44,HIPPODROME FOUNDATION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HISTORIC ANNAPOLIS INC,21401,2022,179027.58,HISTORIC ANNAPOLIS RESTORATION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,LIVING CLASSROOMS FOUNDATION INC,21231,2022,500000,LIVING CLASSROOMS OPPORTUNITY HUB FACILITY,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FRANKLIN SQUARE HOSPITAL CENTER,21237,2022,2000000,NEW SURGICAL TOWER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,DOWNTOWN COLUMBIA ARTS & CULTURAL COMMIS,21044,2022,4000000,MERRIWEATHER POST PAVILION - RENOVATIONS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NORTHBAY EDUCATION INC,21901,2022,428763.01,NORTHBAY EDUCATION - CAPITAL IMPROVEMENTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,YMCA OF FREDERICK COUNTY MD,21701,2022,565000,SOUTH COUNTY FAMILY YMCA,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,YMCA OF HAGERSTOWN MD INC,21742,2022,192000,HAGERSTOWN YMCA,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FRIENDS HOUSE RETIREMENT COMMUNITY INC,20860,2022,100000,FRIENDS HOUSE RETIREMENT COMMUNITY MONTOMERY,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,AMERICAN LEGION POST 217,20740,2022,52915,VFW FREE STATE POST 217 - PARKING LOT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BALTIMORE PUBLIC MARKET CORP,21202,2022,400000,CROSS STREET MARKET,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GILCHRIST HOSPICE CARE INC,21030,2022,500000,GILCHRIST CENTER BALTIMORE,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,RED EMMAS BOOKSTORE AND COFFEE,21201,2022,270000,CENTRAL PALTIMORE PARTNERSHIP,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CENTRAL BALTIMORE PARTNERSHIP,21218,2022,250000,CENTRAL PALTIMORE PARTNERSHIP,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,"CCN AGENCY PRIMUS, LLC DBA COMMUNITY TIT",20895,2022,250000,CENTRAL PALTIMORE PARTNERSHIP,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,MILES & STOCKBRIDGE P.C.,21202,2022,1200000,CENTRAL PALTIMORE PARTNERSHIP,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,ALPHA GENESIS COMMUNITY DEVELOPMENT,21613,2022,50000,BROADFORD PARK TRAILS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GREAT BLACKS IN WAX MUSEUM,21213,2022,310641.23,NATIONAL GREAT BLACKS IN WAX MUSEUM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HOWARD COUNTY HISTORICAL SOCIETY INCORPO,21042,2022,100000,ELLICOTT CITY QUAKER 2ND SCHL,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GGCAL TOWSON ROW LLC,21117,2022,500000,TOWSON ARMORY BUILDING,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FT. WASHINGTON MEDICAL CENTER,20744,2022,578303.28,FT WASHINGTON MED CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GFM ADDISON PLAZA LLC,20743,2022,250000,GOOD FOOD MARKETS - ADDISON PLAZA,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CAPE ST CLAIRE IMP ASSOC,21401,2022,250000,CAPE ST. CLAIRE BEACH REPLEN,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FORT MEADE ALLIANCE FOUNDATION IN,21076,2022,250000,RESIL EDUC CENTER AT KUHN HALL,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,BRAVEHEART VETERANS LLC,21215,2022,300000,BRAVEHEART LIVING,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GRACE FOUNDATION OF TAYLORS ISLAN,21669,2022,76014,TEMPLE X EXPERENTIAL COMM CTR,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,JEWELS SCHOOL INC,21208,2022,50000,COMMUNITY THERAPY CLINIC,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,NATIONAL CENTER ON INSTITUTIONS,21244,2022,224972.33,NCIA EXPANSION 2021,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,TORAH INSTITUTE OF BALTIMORE,21117,2022,250000,TORAH INSTITUTE 2021,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,HOSPICE OF CHARLES CO INC,20646,2022,200000,HOSPICE OF CHARLES COUNTY,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,DELMARVA COMMUNITY SERVICES  INC,21613,2022,500000,CHESAP GROVE INTERGEN CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,FRIENDS NURSING HOME INC,20860,2022,100000,FRIENDS HOUSE RETIREMENT COMM,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,PRINCE GEORGES COUNTY BOYS AND GIRLS CLUB INC,20770,2022,124800,BOYS AND GIRLS CLUB SPORTS PK,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,"RIDGE VOLUNTEER FIRE DEPT, INC",20680,2022,250279,RIDGE VOLUNTEER FIRE DEPT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,ROCKBRIDGE ACADEMY INC,21032,2022,500000,ROCKBRIDGE ACADEMY,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,GOVANS ECUMENICAL DEVELOPMENT COR,21212,2022,100000,GOVANS ECUMENICAL DEVELOP CORP,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,ISLAMIC SOCIETY OF BALTIMORE INC,21244,2022,200000,COMMUNITY LEARNING CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CALVERT COUNTY DAY SCHOOL INC,20639,2022,295950,CALVERTON SCHOOL MEM TURF FLD,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,"MOUNTAIN CITY #382, I.B.P.O.E OF",21701,2022,50000,MOUNTAIN CITY ELKS LODGE NO. 382,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,CEDAR LANE SPORTS FOUNDATION INC,21028,2022,183317.01,COPPERMINE EDGEWOOD ATHL FAC,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,SEXUAL ASSAULT/SPOUSE ABUSE RESOU,21014,2022,150000,SARC RESOURCE CENTER,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,MEMORIAL APTS CORP,21032,2022,100000,HUMANIM 2021,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF BUDGET AND MANAGEMENT/DGS CAPITAL BUDGET,MELWOOD TRAINING CENTER INC,20772,2022,118444,MELWOOD HORTICUL TRAINING FAC,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/OPERATING GRANTS-IN-AID,METRO WASHINGTON COUNCIL OF GOVERNMENTS,20002,2022,4909969.98,METROPOLITAN PLANNING ORGANIZATION (MPO) REQUIREMENTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/OPERATING GRANTS-IN-AID,WILMINGTON AREA PLANNING COUNCIL,19711,2022,77499.21,METROPOLITAN PLANNING ORGANIZATION (MPO) REQUIREMENTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/OPERATING GRANTS-IN-AID,PRIDE OF BALTIMORE INC,21230,2022,750000,MISCELLANEOUS OPERATING GRANTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,MAERSK LINE A/S,28273,2022,249500,INTERMODAL RAIL INCENTIVE PROGRAM (IRIP) GRANT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,METRO WASHINGTON COUNCIL OF GOVERNMENTS,20002,2022,3420893.91,GRANTS FOR COMMUTE SMART,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY - OPERATING GRANTS,WASHINGTON METRORAIL SAFETY COMMISSION,20002,2022,812030,GRANTS TO WASHINGTON METROPOLITAN PLANNING ORGANIZATION (MPO),Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY - OPERATING GRANTS,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,20001,2022,333016002,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA) GRANTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY - CAPITAL GRANTS,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,20001,2022,414790958,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA) GRANTS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATE SYSTEM CONSTRUCTION,AMERICAN ASSOCIATION OF STATE HIGHWAY TRANSPORTATION OFFICIALS,20001,2022,307800,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTOWARE) SOFTWARE PROJECT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/HIGHWAY SAFETY OPERATING,INTEGRATED DESIGNS INC,21061,2022,339898,COMMERCIAL TRUCK SAFETY PROJECT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/HIGHWAY SAFETY OPERATING,RUMMEL KLEPPER & KAHL LLP,21202,2022,68961,SAFE ROUTES TO SCHOOL PROJECT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/MARYLAND HIGHWAY SAFETY,BALTIMORE METROPOLITAN COUNCIL,21230,2022,126922.59,LOCAL STRATEGIC HIGHWAY SAFETY PLANS DEVELOPMENT IN BALTIMORE REGION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/MARYLAND HIGHWAY SAFETY,MARYLAND INSTITUTE COLLEGE OF ART,21217,2022,162442.36,MADE YOU LOOK: EQUIPPING COMMUNITIES WITH HUMAN-CENTERED DESIGN TOOLS FOR PEDESTRIAN/BICYCLE SAFETY,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/MARYLAND HIGHWAY SAFETY,WEBER SHANDWICK,21202,2022,503119.08,PEDESTRIAN RELATED CAMPAIGNS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,BAYSIDE COMMUNITY NETWORK,21922,2022,55289.54,SECTION 5310 CAPITAL,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / SHEPHARD PRATT,21228,2022,268216,SMALL BUSES,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / EASTER SEALS BALTIMORE,21244,2022,147816,SMALL BUSES,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / PARTNERS IN CARE,21122,2022,70158,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / DAYBREAK ADULT DAYCARE,21228,2022,129279,SMALL BUSES,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / LIFEBRIDGE HEALTH,21215,2022,136886,SMALL BUSES,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / ST. MARY'S ADULT DAYCARE,20636,2022,139664,SMALL BUSES,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / ST. MARY'S NURSING,20650,2022,66629,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
