Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2015-16,Prince George's,LAUREL HIGH,454,220,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,LAUREL HIGH,415,180,43%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,LAUREL HIGH,442,188,43%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,LAUREL HIGH,359,161,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,LAUREL HIGH,380,156,41%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,428 ",,,,,,,,
2008-09,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,508 ",,,,,,,,
2009-10,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,734 ",,,,,,,,
2010-11,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,964 ",,,,,,,,
2011-12,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,150 ",,,,,,,,
2012-13,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,306 ",,,,,,,,
2013-14,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,MARGARET BRENT REGIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,106,*,*,*,*,*,*," $5,774 ", * , * , * ," $9,428 ",,,,,,,,
2008-09,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,59,*,*,*,*,*,*," $5,008 ", * , * , * ," $9,508 ",,,,,,,,
2009-10,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,45,*,*,*,*,*,*," $6,874 ", * , * , * ," $9,734 ",,,,,,,,
2010-11,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,57,*,*,*,*,*,*," $7,776 ", * , * , * ," $9,964 ",,,,,,,,
2011-12,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,71,*,*,*,*,*,*," $8,873 ", * , * , * ," $10,150 ",,,,,,,,
2012-13,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,38,*,*,*,*,*,*," $8,261 ", * , * , * ," $10,306 ",,,,,,,,
2013-14,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,40,*,*,*,*,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,36,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,38,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,40,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,48,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,112,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,NORTHWESTERN EVENING/SATURDAY HIGH,171,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,NORTHWESTERN HIGH,448,124,28%,51,41%,73,59%," $7,176 "," $6,327 "," $9,809 "," $5,867 "," $9,428 ",,,,,,,,
2008-09,Prince George's,NORTHWESTERN HIGH,433,130,30%,65,50%,65,50%," $6,845 "," $7,127 "," $6,955 "," $7,127 "," $9,508 ",,,,,,,,
2009-10,Prince George's,NORTHWESTERN HIGH,461,127,28%,58,46%,69,54%," $6,942 "," $7,993 "," $7,235 "," $8,638 "," $9,734 ",,,,,,,,
2010-11,Prince George's,NORTHWESTERN HIGH,460,127,28%,59,47%,68,54%," $7,662 "," $8,692 "," $11,126 "," $7,750 "," $9,964 ",,,,,,,,
2011-12,Prince George's,NORTHWESTERN HIGH,458,133,29%,70,53%,63,47%," $8,066 "," $8,620 "," $9,567 "," $8,379 "," $10,150 ",,,,,,,,
2012-13,Prince George's,NORTHWESTERN HIGH,432,111,26%,60,54%,51,46%," $8,074 "," $10,308 "," $14,963 "," $6,379 "," $10,306 ",,,,,,,,
2013-14,Prince George's,NORTHWESTERN HIGH,498,113,23%,48,43%,65,58%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,NORTHWESTERN HIGH,408,95,23%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,NORTHWESTERN HIGH,403,117,29%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,NORTHWESTERN HIGH,411,117,29%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,NORTHWESTERN HIGH,462,144,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,NORTHWESTERN HIGH,395,103,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,NORTHWESTERN HIGH,478,128,27%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,OXON HILL HIGH,406,180,44%,100,56%,80,44%," $8,151 "," $8,500 "," $10,844 "," $8,190 "," $9,428 ",,,,,,,,
2008-09,Prince George's,OXON HILL HIGH,368,179,49%,112,63%,67,37%," $7,485 "," $8,470 "," $11,303 "," $6,270 "," $9,508 ",,,,,,,,
2009-10,Prince George's,OXON HILL HIGH,381,171,45%,100,59%,71,42%," $7,227 "," $7,944 "," $8,676 "," $5,932 "," $9,734 ",,,,,,,,
2010-11,Prince George's,OXON HILL HIGH,316,147,47%,84,57%,63,43%," $7,265 "," $8,250 "," $10,741 "," $5,451 "," $9,964 ",,,,,,,,
2011-12,Prince George's,OXON HILL HIGH,306,142,46%,90,63%,52,37%," $7,873 "," $8,458 "," $12,845 "," $6,676 "," $10,150 ",,,,,,,,
2012-13,Prince George's,OXON HILL HIGH,299,120,40%,76,63%,44,37%," $7,883 "," $7,106 "," $7,380 "," $5,923 "," $10,306 ",,,,,,,,
2013-14,Prince George's,OXON HILL HIGH,306,139,45%,83,60%,56,40%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,OXON HILL HIGH,318,135,43%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,OXON HILL HIGH,294,150,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,OXON HILL HIGH,333,169,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,OXON HILL HIGH,320,161,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,OXON HILL HIGH,346,170,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,OXON HILL HIGH,346,157,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,PARKDALE HIGH,427,112,26%,49,44%,63,56%," $7,761 "," $6,815 "," $9,919 "," $6,169 "," $9,428 ",,,,,,,,
2008-09,Prince George's,PARKDALE HIGH,365,130,36%,58,45%,72,55%," $6,769 "," $6,989 "," $7,987 "," $5,838 "," $9,508 ",,,,,,,,
2009-10,Prince George's,PARKDALE HIGH,362,110,30%,63,57%,47,43%," $7,394 "," $8,175 "," $8,459 "," $5,976 "," $9,734 ",,,,,,,,
2010-11,Prince George's,PARKDALE HIGH,385,125,33%,62,50%,63,50%," $8,012 "," $8,771 "," $9,176 "," $7,742 "," $9,964 ",,,,,,,,
2011-12,Prince George's,PARKDALE HIGH,390,113,29%,56,50%,57,50%," $7,937 "," $8,528 "," $10,920 "," $8,000 "," $10,150 ",,,,,,,,
2012-13,Prince George's,PARKDALE HIGH,399,106,27%,56,53%,50,47%," $8,066 "," $7,176 "," $8,376 "," $6,405 "," $10,306 ",,,,,,,,
2013-14,Prince George's,PARKDALE HIGH,458,157,34%,85,54%,72,46%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,PARKDALE HIGH,407,116,29%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,PARKDALE HIGH,402,115,29%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,PARKDALE HIGH,439,157,36%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,PARKDALE HIGH,465,120,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,PARKDALE HIGH,468,142,30%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,PARKDALE HIGH,433,137,32%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2010-11,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,964 ",,,,,,,,
2011-12,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,150 ",,,,,,,,
2012-13,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $10,306 ",,,,,,,,
2013-14,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,PG COUNTY CORRECTIONAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,POTOMAC HIGH,224,48,21%,14,29%,34,71%," $6,483 "," $7,248 ", * , * ," $9,428 ",,,,,,,,
2008-09,Prince George's,POTOMAC HIGH,223,55,25%,19,35%,36,66%," $6,932 "," $8,809 ", * , * ," $9,508 ",,,,,,,,
2009-10,Prince George's,POTOMAC HIGH,242,73,30%,22,30%,51,70%," $6,461 "," $6,084 ", * ," $5,948 "," $9,734 ",,,,,,,,
2010-11,Prince George's,POTOMAC HIGH,172,51,30%,22,43%,29,57%," $5,255 "," $4,639 "," $4,023 ", * ," $9,964 ",,,,,,,,
2011-12,Prince George's,POTOMAC HIGH,219,56,26%,24,43%,32,57%," $6,325 "," $7,008 ", * , * ," $10,150 ",,,,,,,,
2012-13,Prince George's,POTOMAC HIGH,184,57,31%,26,46%,31,54%," $6,612 "," $8,855 ", * , * ," $10,306 ",,,,,,,,
2013-14,Prince George's,POTOMAC HIGH,170,46,27%,21,46%,25,54%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,POTOMAC HIGH,228,62,27%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,POTOMAC HIGH,250,65,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,POTOMAC HIGH,262,66,25%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,POTOMAC HIGH,297,72,24%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,POTOMAC HIGH,250,69,28%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,POTOMAC HIGH,244,54,22%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,RICA-SOUTHERN MD,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,428 ",,,,,,,,
2010-11,Prince George's,ROBERT GODDARD FRENCH IMMERSION,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $9,964 ",,,,,,,,
2007-08,Prince George's,SUITLAND HIGH,476,137,29%,52,38%,85,62%," $6,161 "," $7,343 "," $9,380 "," $5,999 "," $9,428 ",,,,,,,,
2008-09,Prince George's,SUITLAND HIGH,426,150,35%,68,45%,82,55%," $6,689 "," $8,863 "," $9,460 "," $6,192 "," $9,508 ",,,,,,,,
2009-10,Prince George's,SUITLAND HIGH,505,163,32%,77,47%,86,53%," $6,729 "," $7,803 "," $9,716 "," $6,413 "," $9,734 ",,,,,,,,
2010-11,Prince George's,SUITLAND HIGH,474,163,34%,76,47%,87,53%," $6,677 "," $8,126 "," $8,489 "," $8,126 "," $9,964 ",,,,,,,,
2011-12,Prince George's,SUITLAND HIGH,480,155,32%,70,45%,85,55%," $7,617 "," $8,141 "," $8,181 "," $8,004 "," $10,150 ",,,,,,,,
2012-13,Prince George's,SUITLAND HIGH,411,151,37%,84,56%,67,44%," $7,578 "," $8,231 "," $8,850 "," $5,391 "," $10,306 ",,,,,,,,
2013-14,Prince George's,SUITLAND HIGH,386,148,38%,67,45%,81,55%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,SUITLAND HIGH,421,134,32%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,SUITLAND HIGH,407,159,39%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,SUITLAND HIGH,443,171,39%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,SUITLAND HIGH,393,129,33%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,SUITLAND HIGH,408,163,40%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,SUITLAND HIGH,394,122,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,SURRATTSVILLE HIGH,245,70,29%,38,54%,32,46%," $6,276 "," $6,600 "," $7,097 ", * ," $9,428 ",,,,,,,,
2008-09,Prince George's,SURRATTSVILLE HIGH,197,67,34%,26,39%,41,61%," $5,879 "," $5,652 ", * ," $4,941 "," $9,508 ",,,,,,,,
2009-10,Prince George's,SURRATTSVILLE HIGH,202,101,50%,37,37%,64,63%," $7,332 "," $7,332 "," $9,902 "," $6,749 "," $9,734 ",,,,,,,,
2010-11,Prince George's,SURRATTSVILLE HIGH,215,95,44%,38,40%,57,60%," $6,988 "," $8,338 "," $8,338 "," $7,972 "," $9,964 ",,,,,,,,
2011-12,Prince George's,SURRATTSVILLE HIGH,167,59,35%,29,49%,30,51%," $6,106 "," $6,923 ", * ," $5,723 "," $10,150 ",,,,,,,,
2012-13,Prince George's,SURRATTSVILLE HIGH,178,71,40%,29,41%,42,59%," $8,107 "," $8,107 ", * , * ," $10,306 ",,,,,,,,
2013-14,Prince George's,SURRATTSVILLE HIGH,169,65,39%,33,51%,32,49%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,SURRATTSVILLE HIGH,169,42,25%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,SURRATTSVILLE HIGH,169,59,35%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,SURRATTSVILLE HIGH,171,63,37%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,SURRATTSVILLE HIGH,161,50,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,SURRATTSVILLE HIGH,155,48,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,SURRATTSVILLE HIGH,177,50,28%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Prince George's,TALL OAKS VOCATIONAL,76,*,*,*,*,*,*," $5,998 ", * , * , * ," $9,428 ",,,,,,,,
2008-09,Prince George's,TALL OAKS VOCATIONAL,74,*,*,*,*,*,*," $6,107 ", * , * , * ," $9,508 ",,,,,,,,
2009-10,Prince George's,TALL OAKS VOCATIONAL,74,*,*,*,*,*,*," $4,776 ", * , * , * ," $9,734 ",,,,,,,,
2010-11,Prince George's,TALL OAKS VOCATIONAL,79,12,15%,*,*,^^,^^," $4,843 ", * , * , * ," $9,964 ",,,,,,,,
2011-12,Prince George's,TALL OAKS VOCATIONAL,84,*,*,*,*,*,*," $6,920 ", * , * , * ," $10,150 ",,,,,,,,
2012-13,Prince George's,TALL OAKS VOCATIONAL,87,*,*,*,*,*,*," $4,972 ", * , * , * ," $10,306 ",,,,,,,,
2013-14,Prince George's,TALL OAKS VOCATIONAL,75,*,*,*,*,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Prince George's,TALL OAKS VOCATIONAL,84,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Prince George's,TALL OAKS VOCATIONAL,74,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Prince George's,TALL OAKS VOCATIONAL,68,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Prince George's,TALL OAKS VOCATIONAL,51,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Prince George's,TALL OAKS VOCATIONAL,64,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Prince George's,TALL OAKS VOCATIONAL,68,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Queen Anne's,KENT ISLAND HIGH SCHOOL,293,146,50%,102,70%,44,30%," $7,964 "," $9,354 "," $10,093 "," $7,871 "," $7,537 ",,,,,,,,
2008-09,Queen Anne's,KENT ISLAND HIGH SCHOOL,314,182,58%,129,71%,53,29%," $8,615 "," $10,596 "," $11,681 "," $8,424 "," $7,601 ",,,,,,,,
2009-10,Queen Anne's,KENT ISLAND HIGH SCHOOL,299,167,56%,110,66%,57,34%," $8,952 "," $9,328 "," $9,637 "," $6,132 "," $7,782 ",,,,,,,,
2010-11,Queen Anne's,KENT ISLAND HIGH SCHOOL,293,149,51%,104,70%,45,30%," $9,231 "," $10,150 "," $11,480 "," $8,056 "," $7,966 ",,,,,,,,
2011-12,Queen Anne's,KENT ISLAND HIGH SCHOOL,306,156,51%,105,67%,51,33%," $9,866 "," $10,040 "," $11,317 "," $8,262 "," $8,114 ",,,,,,,,
2012-13,Queen Anne's,KENT ISLAND HIGH SCHOOL,253,129,51%,95,74%,34,26%," $9,428 "," $11,250 "," $13,488 "," $8,804 "," $8,239 ",,,,,,,,
2013-14,Queen Anne's,KENT ISLAND HIGH SCHOOL,288,152,53%,102,67%,50,33%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Queen Anne's,KENT ISLAND HIGH SCHOOL,312,164,53%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Queen Anne's,KENT ISLAND HIGH SCHOOL,286,156,55%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Queen Anne's,KENT ISLAND HIGH SCHOOL,275,139,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Queen Anne's,KENT ISLAND HIGH SCHOOL,291,171,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Queen Anne's,KENT ISLAND HIGH SCHOOL,264,173,66%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Queen Anne's,KENT ISLAND HIGH SCHOOL,327,186,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,259,118,46%,73,62%,45,38%," $8,388 "," $9,192 "," $10,524 "," $6,937 "," $7,537 ",,,,,,,,
2008-09,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,279,146,52%,91,62%,55,38%," $7,581 "," $8,040 "," $8,626 "," $7,442 "," $7,601 ",,,,,,,,
2009-10,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,261,142,54%,83,59%,59,42%," $8,093 "," $8,875 "," $10,631 "," $7,788 "," $7,782 ",,,,,,,,
2010-11,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,262,132,50%,80,61%,52,39%," $9,693 "," $10,295 "," $11,674 "," $7,892 "," $7,966 ",,,,,,,,
2011-12,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,288,134,47%,101,75%,33,25%," $10,313 "," $10,876 "," $12,019 "," $7,331 "," $8,114 ",,,,,,,,
2012-13,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,278,117,42%,82,70%,35,30%," $9,490 "," $10,341 "," $12,190 "," $8,144 "," $8,239 ",,,,,,,,
2013-14,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,314,151,48%,92,61%,59,39%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,265,130,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,239,102,43%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,272,144,53%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,263,130,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,253,129,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,281,134,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Somerset,CRISFIELD HIGH SCHOOL,74,29,39%,*,*,^^,^^," $4,864 "," $3,599 ", * ," $3,236 "," $6,200 ",,,,,,,,
2008-09,Somerset,CRISFIELD HIGH SCHOOL,62,27,44%,12,44%,15,56%," $7,653 "," $10,238 ", * , * ," $6,253 ",,,,,,,,
2009-10,Somerset,CRISFIELD HIGH SCHOOL,66,26,39%,*,*,^^,^^," $7,780 ", * , * , * ," $6,402 ",,,,,,,,
2010-11,Somerset,CRISFIELD HIGH SCHOOL,70,30,43%,17,57%,13,43%," $7,727 "," $8,343 "," $12,130 ", * ," $6,553 ",,,,,,,,
2011-12,Somerset,CRISFIELD HIGH SCHOOL,76,34,45%,15,44%,19,56%," $8,250 "," $9,048 ", * ," $8,368 "," $6,675 ",,,,,,,,
2012-13,Somerset,CRISFIELD HIGH SCHOOL,62,22,36%,^^,^^,*,*," $7,782 ", * , * , * ," $6,778 ",,,,,,,,
2013-14,Somerset,CRISFIELD HIGH SCHOOL,67,28,42%,15,54%,13,46%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Somerset,CRISFIELD HIGH SCHOOL,62,22,36%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Somerset,CRISFIELD HIGH SCHOOL,61,27,44%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Somerset,CRISFIELD HIGH SCHOOL,69,33,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Somerset,CRISFIELD HIGH SCHOOL,60,33,55%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Somerset,CRISFIELD HIGH SCHOOL,62,28,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Somerset,CRISFIELD HIGH SCHOOL,67,20,30%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Somerset,WASHINGTON HIGH SCHOOL,74,31,42%,16,52%,15,48%," $6,770 "," $6,846 ", * , * ," $6,200 ",,,,,,,,
2008-09,Somerset,WASHINGTON HIGH SCHOOL,103,37,36%,19,51%,18,49%," $6,456 "," $8,054 "," $9,977 ", * ," $6,253 ",,,,,,,,
2009-10,Somerset,WASHINGTON HIGH SCHOOL,102,46,45%,22,48%,24,52%," $6,909 "," $6,404 "," $7,192 "," $6,177 "," $6,402 ",,,,,,,,
2010-11,Somerset,WASHINGTON HIGH SCHOOL,108,40,37%,22,55%,18,45%," $6,755 "," $7,592 ", * ," $6,330 "," $6,553 ",,,,,,,,
2011-12,Somerset,WASHINGTON HIGH SCHOOL,98,42,43%,14,33%,28,67%," $7,430 "," $7,756 ", * ," $7,744 "," $6,675 ",,,,,,,,
2012-13,Somerset,WASHINGTON HIGH SCHOOL,106,33,31%,15,46%,18,55%," $7,591 "," $10,593 ", * , * ," $6,778 ",,,,,,,,
2013-14,Somerset,WASHINGTON HIGH SCHOOL,101,38,38%,18,47%,20,53%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Somerset,WASHINGTON HIGH SCHOOL,101,31,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
