call_number,date,location,district,neighborhood,zip_code
P222751382,2022-10-02,2900 WYNHAM RD BALTIMORE MD,NW,West Forest Park,21216
P222783995,2022-10-05,1200 HOLLINS ST BALTIMORE MD,SD,Hollins Market,21223
P222784239,2022-10-05,3500 W GARRISON AV BALTIMORE MD,NW,Central Park Heights,21215
P220632371,2022-03-04,5400 LOTHIAN RD BALTIMORE MD,ND,Mid-Govans,21212
P220643342,2022-03-05,E FAYETTE ST and N LAKEWOOD AV BALTIMORE MD,SE,McElderry Park,21224
P220651158,2022-03-06,300 PONTIAC AV BALTIMORE MD,SD,Brooklyn,21225
P223034117,2022-10-30,3900 FRISBY ST BALTIMORE MD,ND,Pen Lucy,21218
P223041219,2022-10-31,HENRY ST and E RANDALL ST BALTIMORE MD,SD,Riverside,21230
P222442462,2022-09-01,1900 MOSHER ST BALTIMORE MD,WD,Midtown-Edmondson,21217
P221673073,2022-06-16,3700 1 and 2 W BELVEDERE AV BALTIMORE MD,NW,Arlington,21215
P221673682,2022-06-16,1100 N FREMONT AV BALTIMORE MD,WD,Upton,21217
P221211566,2022-05-01,100 LARUE SQ S BALTIMORE MD,SD,Cherry Hill,21225
P221212316,2022-05-01,W NORTH AV and N FULTON AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P221230802,2022-05-03,600 S WICKHAM RD BALTIMORE MD,SW,Beechfield,21229
P221232007,2022-05-03,0TH ST and E PATAPSCO AV BALTIMORE MD,SD,Brooklyn,21225
P222802812,2022-10-07,5500 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P222822982,2022-10-09,1000 W LANVALE ST BALTIMORE MD,WD,Harlem Park,21217
P222834574,2022-10-10,2100 E FAYETTE ST BALTIMORE MD,ED,Butcher's Hill,21231
P222861869,2022-10-13,E JEFFREY ST and 0TH ST BALTIMORE MD,SD,Brooklyn,21225
P220653148,2022-03-06,1500 MOSHER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220654194,2022-03-06,1700 DUNDALK AV BALTIMORE MD,SE,Broening Manor,21222
P220672504,2022-03-08,EDMONDSON AV and W FRANKLIN ST BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P222732478,2022-09-30,WOODBOURNE AV and YORK RD BALTIMORE MD,ND,Mid-Govans,21212
P221691700,2022-06-18,4200 CURTIS AV BALTIMORE MD,SD,Curtis Bay,21226
P221701736,2022-06-19,RAMSAY ST and S GILMOR ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P221711060,2022-06-20,2100 E NORTH AV BALTIMORE MD,ED,Broadway East,21213
P221711734,2022-06-20,1900 W NORTH AV BALTIMORE MD,WD,Easterwood,21217
P221251926,2022-05-05,E COLD SPRING LN and YORK RD BALTIMORE MD,ND,Kernewood,21212
P221252938,2022-05-05,3100 PULASKI HY BALTIMORE MD,SE,Ellwood Park/Monument,21224
P221253880,2022-05-05,1600 N FULTON AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P222890363,2022-10-16,N WARWICK AV and N WARWICK AV BALTIMORE MD,WD,Mondawmin,21215
P222902354,2022-10-17,2000 GWYNNS FALLS PY BALTIMORE MD,WD,Mondawmin,21215
P223614123,2022-12-27,100 S MORLEY ST BALTIMORE MD,SW,Saint Josephs,21229
P223620170,2022-12-28,800 HILLMAN CT BALTIMORE MD,ED,Oldtown,21202
P223623251,2022-12-28,300 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P223652586,2022-12-31,CHRISTIAN ST and S CATHERINE ST BALTIMORE MD,SW,Carrollton Ridge,21223
P220702615,2022-03-11,1600 MOUNTMOR CT BALTIMORE MD,WD,Sandtown-Winchester,21217
P220703675,2022-03-11,W LEXINGTON ST and N PACA ST BALTIMORE MD,CD,Downtown,21201
P220710890,2022-03-12,900 ST PAUL ST BALTIMORE MD,CD,Mount Vernon,21202
P220714361,2022-03-12,1700 THAMES ST BALTIMORE MD,SE,Fells Point,21231
P222882586,2022-10-15,2600 E MADISON ST BALTIMORE MD,ED,Madison-Eastend,21205
P222913258,2022-10-18,400 BLK S STRICKER ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P221722135,2022-06-21,100 BLK W NORTH AV BALTIMORE MD,CD,Charles North,21201
P221751348,2022-06-24,4200 PRIMROSE AV BALTIMORE MD,NW,Reisterstown Station,21215
P221291192,2022-05-09,E 0TH ST and GREENMOUNT AV BALTIMORE MD,ND,Better Waverly,21218
P222923597,2022-10-19,2100 CLIFTWOOD AV BALTIMORE MD,ED,South Clifton Park,21213
P222925250,2022-10-19,1200 GLENHAVEN RD BALTIMORE MD,NE,Ramblewood,21239
P222932707,2022-10-20,0 E FAYETTE ST BALTIMORE MD,CD,Downtown,21202
P222934006,2022-10-20,1900 N MONROE ST BALTIMORE MD,WD,Mondawmin,21217
P222934349,2022-10-20,2400 WILGREY CT BALTIMORE MD,SD,Westport,21230
P222953269,2022-10-22,1200 LINWORTH AV BALTIMORE MD,NE,New Northwood,21239
P222971866,2022-10-24,600 PITCHER ST BALTIMORE MD,CD,Upton,21217
P220222297,2022-01-22,2700 MOSHER ST BALTIMORE MD,WD,Mosher,21216
P220730564,2022-03-14,1900 ELGIN AV BALTIMORE MD,WD,Mondawmin,21217
P220770507,2022-03-18,5600 GERLAND AV BALTIMORE MD,NE,Frankford,21206
P223074468,2022-11-03,3900 W FOREST PARK AV BALTIMORE MD,NW,Concerned Citizens Of Forest Park,21207
P223163989,2022-11-12,100 S BROADWAY BALTIMORE MD,SE,Washington Hill,21231
P221753794,2022-06-24,W NORTH AV and PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P221770283,2022-06-26,2300 E MADISON ST BALTIMORE MD,ED,Milton-Montford,21205
P221341218,2022-05-14,200 BALTIMORE MD,SW,Violetville,21229
P221351474,2022-05-15,REISTERSTOWN RD and LYNNBROOK AV BALTIMORE MD,WD,Mondawmin,21217
P221362302,2022-05-16,WOODBOURNE AV and YORK RD BALTIMORE MD,ND,Mid-Govans,21212
P221382642,2022-05-18,1500 N ELLAMONT ST BALTIMORE MD,SW,Rosemont,21216
P222983806,2022-10-25,400 BLK N BELNORD AV BALTIMORE MD,SE,McElderry Park,21224
P223021089,2022-10-29,1400 BLOOMFIELD AV BALTIMORE MD,SW,Violetville,21227
P223023495,2022-10-29,2500 HOLLINS ST BALTIMORE MD,SW,Shipley Hill,21223
P221222240,2022-05-02,1800 MARYLAND AV BALTIMORE MD,CD,Charles North,21201
P223353666,2022-12-01,3400 W FOREST PARK AV BALTIMORE MD,NW,Forest Park,21216
P221784556,2022-06-27,900 WILMOT CT BALTIMORE MD,ED,Oldtown,21202
P221821994,2022-07-01,5100 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P221402728,2022-05-20,2400 LIBERTY HEIGHTS AV BALTIMORE MD,WD,Mondawmin,21215
P221413890,2022-05-21,N ARLINGTON AV and MOSHER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P223031030,2022-10-30,4200 CLARKDALE RD BALTIMORE MD,ND,Woodberry,21209
P223054395,2022-11-01,2100 WINDSOR GARDENS LN BALTIMORE MD,SW,Wakefield,21207
P223071307,2022-11-03,EUTAW PL and W NORTH AV BALTIMORE MD,CD,Madison Park,21217
P221511834,2022-05-31,1600 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P221524359,2022-06-01,2600 GREENMOUNT AV BALTIMORE MD,ND,Harwood,21218
P221534117,2022-06-02,4000 SINCLAIR LN BALTIMORE MD,NE,Orchard Ridge,21213
P221692107,2022-06-18,6500 FRANKFORD AV BALTIMORE MD,NE,Pulaski Industrial Area,21206
P220850318,2022-03-26,300 S AUGUSTA AV BALTIMORE MD,SW,Irvington,21229
P220852641,2022-03-26,2500 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P220853611,2022-03-26,800 N MONROE ST BALTIMORE MD,WD,Midtown-Edmondson,21217
P220872670,2022-03-28,3600 CALLAWAY AV BALTIMORE MD,NW,Ashburton,21215
P221432330,2022-05-23,4300 ORCHARD RIDGE BL BALTIMORE MD,NE,Orchard Ridge,21213
P221443005,2022-05-24,5400 BELAIR RD BALTIMORE MD,NE,Frankford,21206
P221481570,2022-05-28,100 S HAVEN ST BALTIMORE MD,SE,Baltimore Highlands,21224
P221481785,2022-05-28,4600 CHATFORD AV BALTIMORE MD,NE,Parkside,21206
P221842249,2022-07-03,POPLAR GROVE ST and EDMONDSON AV BALTIMORE MD,WD,Franklintown Road,21223
P221851230,2022-07-04,1800 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P223084021,2022-11-04,5500 EASTERN AV BALTIMORE MD,SE,Greektown,21224
P223092890,2022-11-05,3900 ORLEANS ST BALTIMORE MD,SE,Baltimore Highlands,21224
P221893824,2022-07-08,100 N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P222202063,2022-08-08,3200 NORTHWAY DR BALTIMORE MD,NE,North Harford Road,21234
P221491795,2022-05-29,HOLLINS ST and S CALVERTON RD BALTIMORE MD,SW,Boyd-Booth,21223
P221500166,2022-05-30,6200 FORTVIEW WY BALTIMORE MD,SE,O'Donnell Heights,21224
P221503404,2022-05-30,600 N COLLINGTON AV BALTIMORE MD,ED,CARE,21205
P221511186,2022-05-31,HOMEWOOD AV and KIRK AV BALTIMORE MD,ED,East Baltimore Midway,21218
P221511527,2022-05-31,300 E 28TH ST BALTIMORE MD,ND,Harwood,21218
P221871448,2022-07-06,EDMONDSON AV and N STRICKER ST BALTIMORE MD,WD,Harlem Park,21223
P221890383,2022-07-08,3400 STRICKLAND ST BALTIMORE MD,SW,Irvington,21229
P223151201,2022-11-11,5500 FRANKFORD AV BALTIMORE MD,NE,Frankford,21206
P223153620,2022-11-11,3600 9TH ST BALTIMORE MD,SD,Brooklyn,21225
P222531821,2022-09-10,E NORTH AV and GREENMOUNT AV BALTIMORE MD,ED,Greenmount West,21202
P220922458,2022-04-02,400 N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P220923167,2022-04-02,E 0TH ST and GREENMOUNT AV BALTIMORE MD,ED,Better Waverly,21218
P221521087,2022-06-01,100 MARKET PL BALTIMORE MD,CD,Downtown,21202
P221532433,2022-06-02,1700 MANSION HOUSE DR BALTIMORE MD,ND,Druid Hill Park,21217
P221542007,2022-06-03,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P223191276,2022-11-15,CHESAPEAKE AV and 0TH ST BALTIMORE MD,SD,Brooklyn,21225
P223200097,2022-11-16,JOHNS HOPKINS ER BALTIMORE MD,ED,Dunbar-Broadway,21287
P222743920,2022-10-01,600 LAURENS ST BALTIMORE MD,CD,Upton,21217
P221582628,2022-06-07,E NORTH AV and HARFORD AV BALTIMORE MD,ED,East Baltimore Midway,21213
P221592053,2022-06-08,E NORTH AV and GREENMOUNT AV BALTIMORE MD,ED,Greenmount West,21202
P221592087,2022-06-08,POPLAR GROVE ST and W LAFAYETTE AV BALTIMORE MD,WD,Franklintown Road,21216
P221604427,2022-06-09,3400 DEVONSHIRE DR BALTIMORE MD,NW,Glen,21215
P221962597,2022-07-15,800 BERRY ST BALTIMORE MD,ND,Hampden,21211
P221972305,2022-07-16,2100 WINDSOR GARDENS LN BALTIMORE MD,SW,Wakefield,21207
P223094475,2022-11-05,1300 W LAFAYETTE AV BALTIMORE MD,WD,Harlem Park,21217
P222072034,2022-07-26,700 PENNSYLVANIA AV BALTIMORE MD,CD,Seton Hill,21201
P222080943,2022-07-27,500 W LEXINGTON ST BALTIMORE MD,CD,Downtown,21201
P222081736,2022-07-27,1000 FELL ST BALTIMORE MD,SE,Fells Point,21231
P222091443,2022-07-28,W NORTH AV and PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222091798,2022-07-28,W NORTH AV and N CAREY ST BALTIMORE MD,WD,Penn North,21217
P222092521,2022-07-28,2300 W LANVALE ST BALTIMORE MD,WD,Evergreen Lawn,21216
P222121665,2022-07-31,1300 E LAFAYETTE AV BALTIMORE MD,ED,Oliver,21213
P222122179,2022-07-31,NB I 100 N @ MM 53.9 BALTIMORE MD,SD,Locust Point Industrial Area,21230
P222182620,2022-08-06,PENNSYLVANIA AV and PRESSTMAN ST BALTIMORE MD,CD,Upton,21217
P222241908,2022-08-12,N GREENE ST and W BALTIMORE ST BALTIMORE MD,CD,University Of Maryland,21201
P222283998,2022-08-16,500 DOLPHIN ST BALTIMORE MD,CD,Upton,21201
P222294608,2022-08-17,5300 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P222312494,2022-08-19,2100 EDMONDSON AV BALTIMORE MD,WD,Midtown-Edmondson,21223
P222342828,2022-08-22,600 E PRATT ST BALTIMORE MD,CD,Inner Harbor,21202
P221853675,2022-07-04,200 BLK E PATAPSCO AV BALTIMORE MD,SD,Brooklyn,21225
P221854717,2022-07-04,1600 BLK DELANO CT BALTIMORE MD,WD,Sandtown-Winchester,21217
P221861753,2022-07-05,SOUTHWEST DISTRICT BALTIMORE MD,SW,Gwynns Falls,21223
P222364836,2022-08-24,300 PRESSTMAN ST BALTIMORE MD,CD,Madison Park,21217
P223424811,2022-12-08,600 FALLSWAY BALTIMORE MD,ED,Penn-Fallsway,21202
P221313958,2022-05-11,900 S CATON AV BALTIMORE MD,SW,Violetville,21229
P223232749,2022-11-19,N HIGHLAND AV and E FAYETTE ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P223233133,2022-11-19,1000 NEW HOPE CI BALTIMORE MD,SE,Pleasant View Gardens,21202
P221622128,2022-06-11,E READ ST and N CHARLES ST BALTIMORE MD,CD,Mount Vernon,21201
P221641230,2022-06-13,CARROLL ST and WHISTLER AV BALTIMORE MD,SW,Morrell Park,21230
P220223324,2022-01-22,2800 ORLEANS ST BALTIMORE MD,SE,McElderry Park,21224
P223181021,2022-11-14,0 N CONKLING ST BALTIMORE MD,SE,Baltimore Highlands,21224
P222652620,2022-09-22,E NORTH AV and N WOLFE ST BALTIMORE MD,ED,Broadway East,21213
P222995079,2022-10-26,1500 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P223181735,2022-11-14,700 LENNOX ST BALTIMORE MD,CD,Reservoir Hill,21217
P221942976,2022-07-13,E NORTH AV and N CHESTER ST BALTIMORE MD,ED,South Clifton Park,21213
P223002845,2022-10-27,GREENMOUNT AV and E 0TH ST BALTIMORE MD,ND,Better Waverly,21218
P223192461,2022-11-15,2100 VINE ST BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P222963010,2022-10-23,200 N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P223444371,2022-12-10,300 N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P223214783,2022-11-17,5100 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P223350800,2022-12-01,2300 HARFORD RD BALTIMORE MD,ED,East Baltimore Midway,21218
P223152327,2022-11-11,7600 HARFORD RD BALTIMORE MD,NE,North Harford Road,21234
P222981018,2022-10-25,1500 BLK CHURCH ST BALTIMORE MD,SD,Curtis Bay,21226
P223021521,2022-10-29,3900 CLAREMONT ST BALTIMORE MD,SE,Highlandtown,21224
P223462434,2022-12-12,WESTSIDE SHOPPING CENTER BALTIMORE MD,SW,Millhill,21223
P223023172,2022-10-29,4900 REISTERSTOWN RD BALTIMORE MD,NW,Langston Hughes,21215
P223273292,2022-11-23,2400 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P223162420,2022-11-12,1800 N PORT ST BALTIMORE MD,ED,Broadway East,21213
P223354455,2022-12-01,E NORTHERN PY and YORK RD BALTIMORE MD,ND,Chinquapin Park,21212
P222983977,2022-10-25,3500 N CHARLES ST BALTIMORE MD,ND,Johns Hopkins Homewood,21218
P222985527,2022-10-25,2500 BLK FREDERICK AV BALTIMORE MD,SW,Millhill,21223
P223282448,2022-11-24,700 BLK E 20TH ST BALTIMORE MD,ED,East Baltimore Midway,21218
P223592539,2022-12-25,GREENMOUNT AV and E 0TH ST BALTIMORE MD,ND,Harwood,21218
P223603786,2022-12-26,2700 LAURETTA AV BALTIMORE MD,WD,Rosemont Homeowners/Tenants,21223
P223651233,2022-12-31,HUNTINGDON AV and W 0TH ST BALTIMORE MD,ND,Remington,21211
P223652019,2022-12-31,2000 CECIL AV BALTIMORE MD,ED,East Baltimore Midway,21218
P223301701,2022-11-26,700 E 22ND ST BALTIMORE MD,ED,East Baltimore Midway,21218
P223302569,2022-11-26,1400 E FAYETTE ST BALTIMORE MD,SE,Dunbar-Broadway,21231
P220010842,2022-01-01,1200 N FREMONT AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P220053254,2022-01-05,4800 GARRISON BL BALTIMORE MD,NW,Dolfield,21215
P223282962,2022-11-24,3300 E FAYETTE ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P220062361,2022-01-06,200 BALTIMORE MD,ND,Levindale,21215
P220103332,2022-01-10,800 BLK GLADE CT BALTIMORE MD,SD,Brooklyn,21225
P220323089,2022-02-01,1000 STOLL PL BALTIMORE MD,SD,Brooklyn,21225
P220062808,2022-01-06,4500 N ROGERS AV BALTIMORE MD,NW,Woodmere,21215
P220020819,2022-01-02,2800 HOLLINS FERRY RD BALTIMORE MD,SD,Lakeland,21230
P220110895,2022-01-11,N CHARLES ST and E BIDDLE ST BALTIMORE MD,CD,Mid-Town Belvedere,21201
P220162691,2022-01-16,900 BRADHURST RD BALTIMORE MD,ND,Mid-Govans,21212
P220022477,2022-01-02,200 N MONASTERY AV BALTIMORE MD,SW,Allendale,21229
P220121666,2022-01-12,2300 N ROSEDALE ST BALTIMORE MD,SW,Walbrook,21216
P220031532,2022-01-03,2000 EUTAW PL BALTIMORE MD,CD,Madison Park,21217
P220080340,2022-01-08,5100 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P220180335,2022-01-18,3300 THE ALAMEDA BALTIMORE MD,NE,Ednor Gardens-Lakeside,21218
P220342134,2022-02-03,MONDAWMIN MALL BALTIMORE MD,WD,Mondawmin,21215
P220472787,2022-02-16,2400 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P220133794,2022-01-13,BELAIR RD and NICHOLAS AV BALTIMORE MD,NE,Arcadia,21206
P220793291,2022-03-20,2300 E MADISON ST BALTIMORE MD,SE,Milton-Montford,21205
P220481742,2022-02-17,MARYLAND AV and W PRESTON ST BALTIMORE MD,CD,Mid-Town Belvedere,21201
P220142824,2022-01-14,2200 BARCLAY ST BALTIMORE MD,ED,Barclay,21218
P220192806,2022-01-19,E FAYETTE ST and N CLINTON ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P220853466,2022-03-26,1200 W FAYETTE ST BALTIMORE MD,WD,Poppleton,21223
P220884542,2022-03-29,2700 THE ALAMEDA BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P220920475,2022-04-02,700 BLK E 25TH ST BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P221513947,2022-05-31,1400 ORLEANS ST BALTIMORE MD,ED,Dunbar-Broadway,21231
P221520709,2022-06-01,2700 WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P221521015,2022-06-01,6800 STURBRIDGE DR BALTIMORE MD,NE,Hamilton Hills,21234
P221521459,2022-06-01,2700 MCELDERRY ST BALTIMORE MD,SE,McElderry Park,21205
P220923611,2022-04-02,S CALHOUN ST and W LOMBARD ST BALTIMORE MD,SD,Union Square,21223
P221524338,2022-06-01,3900 GARRISON BL BALTIMORE MD,NW,Dorchester,21215
P220872393,2022-03-28,900 W LEXINGTON ST BALTIMORE MD,WD,Poppleton,21223
P220982600,2022-04-08,GREENSPRING AV and CYLBURN AV BALTIMORE MD,ND,Cylburn,21215
P220982883,2022-04-08,GARRISON BL and GWYNNS FALLS PY BALTIMORE MD,NW,Hanlon-Longwood,21216
P220983424,2022-04-08,0 S ARLINGTON AV BALTIMORE MD,SD,Hollins Market,21223
P221532546,2022-06-02,100 BLK S PATTERSON PARK AV BALTIMORE MD,SE,Butcher's Hill,21224
P220990600,2022-04-09,2100 N FULTON AV BALTIMORE MD,WD,Penn North,21217
P221542173,2022-06-03,5100 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P221542249,2022-06-03,5100 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P221543083,2022-06-03,200 N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P221550237,2022-06-04,2300 HARFORD RD BALTIMORE MD,ED,East Baltimore Midway,21218
P221551538,2022-06-04,1500 W NORTH AV BALTIMORE MD,WD,Druid Heights,21217
P221003241,2022-04-10,200 BLK N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P221552683,2022-06-04,W NORTHERN PY and PARK HEIGHTS AV BALTIMORE MD,NW,Glen,21215
P221553870,2022-06-04,700 N LUZERNE AV BALTIMORE MD,ED,Milton-Montford,21205
P221011281,2022-04-11,N EUTAW ST and W SARATOGA ST BALTIMORE MD,CD,Downtown,21201
P221562889,2022-06-05,3500 HAYWARD AV BALTIMORE MD,NW,Arlington,21215
P221020449,2022-04-12,4100 FREDERICK AV BALTIMORE MD,SW,Irvington,21229
P221031179,2022-04-13,300 BLK MCMECHEN ST BALTIMORE MD,CD,Bolton Hill,21217
P221582377,2022-06-07,MADISON AV and GOLD ST BALTIMORE MD,CD,Druid Heights,21217
P221583494,2022-06-07,200 MAUDE AV BALTIMORE MD,SD,Brooklyn,21225
P221583664,2022-06-07,1700 E NORTHERN PY BALTIMORE MD,NE,Loch Raven,21239
P221040638,2022-04-14,600 BLK HOMESTEAD ST BALTIMORE MD,ND,Better Waverly,21218
P221041785,2022-04-14,1000 CATHEDRAL ST BALTIMORE MD,CD,Mid-Town Belvedere,21201
P221042825,2022-04-14,4900 FREDERICK AV BALTIMORE MD,SW,Beechfield,21229
P221071675,2022-04-17,100 S BROADWAY BALTIMORE MD,SE,Washington Hill,21231
P221073014,2022-04-17,5300 BLK REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P221073772,2022-04-17,200 S BROADWAY BALTIMORE MD,SE,Fells Point,21231
P221073788,2022-04-17,200 S BROADWAY BALTIMORE MD,SE,Fells Point,21231
P221611647,2022-06-10,3000 PRESBURY ST BALTIMORE MD,SW,Northwest Community Action,21216
P221701464,2022-06-19,4000 BELLE AV BALTIMORE MD,NW,Dorchester,21215
P221701787,2022-06-19,400 S MONROE ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221703606,2022-06-19,5400 RADECKE AV BALTIMORE MD,NE,Frankford,21206
P221940943,2022-07-13,3700 10TH ST BALTIMORE MD,SD,Brooklyn,21225
P221622135,2022-06-11,5100 BLK N FRANKLINTOWN RD BALTIMORE MD,SW,Franklintown,21207
P221622452,2022-06-11,2600 CHESTERFIELD AV BALTIMORE MD,NE,Belair-Edison,21213
P221951787,2022-07-14,600 CUMBERLAND ST BALTIMORE MD,WD,Penn North,21217
P221630877,2022-06-12,1600 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221952225,2022-07-14,N FULTON AV and PRESBURY ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221631414,2022-06-12,3600 POTEE ST BALTIMORE MD,SD,Brooklyn,21225
P221954068,2022-07-14,1300 EDISON HY BALTIMORE MD,ED,Orangeville Industrial Area,21213
P221954415,2022-07-14,ASHLAND AV and N BROADWAY BALTIMORE MD,ED,Gay Street,21205
P221640106,2022-06-13,0 BLK N BERNICE AV BALTIMORE MD,SW,Carroll-South Hilton,21229
P221961688,2022-07-15,4000 WOODRIDGE RD BALTIMORE MD,SW,Edmondson Village,21229
P221640921,2022-06-13,900 MT HOLLY ST BALTIMORE MD,SW,Edmondson Village,21229
P221644515,2022-06-13,1500 BLK W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221971937,2022-07-16,1600 BLK W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221980108,2022-07-17,100 MARKET PL BALTIMORE MD,CD,Downtown,21202
P221653680,2022-06-14,2500 E MADISON ST BALTIMORE MD,ED,Milton-Montford,21205
P221981604,2022-07-17,1800 MCHENRY ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221982170,2022-07-17,600 PITCHER ST BALTIMORE MD,CD,Upton,21217
P221982306,2022-07-17,1500 ARGYLE AV BALTIMORE MD,CD,Upton,21217
P221982418,2022-07-17,3600 W ROGERS AV BALTIMORE MD,NW,Arlington,21215
P221990150,2022-07-18,500 RANDOM RD BALTIMORE MD,SW,Beechfield,21229
P221991646,2022-07-18,2900 WATERVIEW AV BALTIMORE MD,SD,Cherry Hill,21230
P221663930,2022-06-15,1200 E NORTH AV BALTIMORE MD,ED,East Baltimore Midway,21202
P221671365,2022-06-16,2400 BRENTWOOD AV BALTIMORE MD,ED,Barclay,21218
P222151823,2022-08-03,100 W NORTH AV BALTIMORE MD,CD,Charles North,21201
P221674367,2022-06-16,1600 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221681792,2022-06-17,3700 W BELVEDERE AV BALTIMORE MD,NW,Arlington,21215
P221682157,2022-06-17,6800 HARFORD RD BALTIMORE MD,NE,North Harford Road,21234
P222162242,2022-08-04,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221683410,2022-06-17,3500 BLK E PRATT ST BALTIMORE MD,SE,Highlandtown,21224
P222171942,2022-08-05,5300 BLK CORDELIA AV BALTIMORE MD,NW,Arlington,21215
P222172219,2022-08-05,1300 N MOUNT ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222172402,2022-08-05,2400 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222183217,2022-08-06,1200 BLK W MT ROYAL AV BALTIMORE MD,CD,Mid-Town Belvedere,21217
P222184165,2022-08-06,600 N EUTAW ST BALTIMORE MD,CD,Seton Hill,21201
P222191850,2022-08-07,1600 BLK ARGYLE AV BALTIMORE MD,CD,Upton,21217
P222192252,2022-08-07,1500 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P222192379,2022-08-07,2400 N CHARLES ST BALTIMORE MD,ND,Old Goucher,21218
P222202322,2022-08-08,2000 BLK HARFORD RD BALTIMORE MD,ED,East Baltimore Midway,21218
P222203660,2022-08-08,6500 COLGATE AV BALTIMORE MD,SE,Saint Helena,21222
P222210085,2022-08-09,SHAKE & BAKE FAMILY FUN CENTER BALTIMORE MD,CD,Upton,21217
P222211808,2022-08-09,1200 BLK CLENDENIN ST BALTIMORE MD,WD,Penn North,21217
P222212432,2022-08-09,N MOUNT ST and MOSHER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222213292,2022-08-09,2000 W PRATT ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221751569,2022-06-24,4300 BERGER AV BALTIMORE MD,NE,Frankford,21206
P222214098,2022-08-09,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221752597,2022-06-24,300 N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P221752825,2022-06-24,NORTHERN DISTRICT BALTIMORE MD,ND,Coldspring,21209
P221753758,2022-06-24,S MONROE ST and W PRATT ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221763272,2022-06-25,5200 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P221764233,2022-06-25,S MOUNT ST and WILKENS AV BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P221771687,2022-06-26,500 S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221772423,2022-06-26,4200 LABYRINTH RD BALTIMORE MD,NW,Reisterstown Station,21215
P221791758,2022-06-28,1200 E NORTH AV BALTIMORE MD,ED,East Baltimore Midway,21202
P221793318,2022-06-28,1800 WASHINGTON BL BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
